Prompt 1,Prompt 2,Prompt 3,Prompt 4,Prompt 5,Prompt 6,Prompt 7,Prompt 8,Prompt 9,Prompt 10,Prompt 11,Prompt 12,Prompt 13,doc_name,sent_idx,text,mention pair,label,Prompt 1,Prompt 2,Prompt 3,Prompt 4,Prompt 5,Prompt 6,Prompt 7,Prompt 8,Prompt 9,Prompt 10,Prompt 11,Prompt 12,Prompt 13
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[1, 1]","[1, 1]","[0, 1]","[1, 1]","[1, 1]","[0, 1]","[0, 1]","[1, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}
 {'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}]",0,NT,NT,NT,NT,PF,PF,NT,PF,PF,NT,NT,PF,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[1, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}
 {'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}]",0,NT,NT,NT,NT,PF,NT,NT,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}
 {'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}]",0,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[1, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}
 {'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}]",0,NT,NT,NT,NT,PF,NT,NT,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}
 {'mention': 'in San Diego', 'start_token_id': 27, 'end_token_id': 37}]",0,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[1, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}
 {'mention': 'Jackson', 'start_token_id': 41, 'end_token_id': 41}]",0,NT,NT,NT,NT,PF,NT,NT,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}
 {'mention': 'California Highway Patrol', 'start_token_id': 46, 'end_token_id': 48}]",0,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
"[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}
 {'mention': 'early Tuesday morning', 'start_token_id': 49, 'end_token_id': 51}]",0,PF,PF,PF,PF,PF,PF,PF,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[1, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}
 {'mention': 'tests', 'start_token_id': 55, 'end_token_id': 55}]",0,NT,NT,NT,NT,NT,PF,NT,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}
 {'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}]",0,NT,NT,NT,PF,PF,PF,PF,NT,NT,NT,NT,NT,NT
"[0, 1]","[1, 1]","[0, 1]","[0, 1]","[0, 1]","[1, 1]","[1, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}
 {'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}]",0,NT,PF,NT,NT,NT,PF,PF,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[1, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}
 {'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}]",0,NT,NT,NT,NT,PF,NT,NT,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}
 {'mention': 'in San Diego', 'start_token_id': 27, 'end_token_id': 37}]",0,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
"[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[0, 1]","[0, 1]","[1, 1]","[1, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}
 {'mention': 'Jackson', 'start_token_id': 41, 'end_token_id': 41}]",1,PT,PT,PT,PT,PT,PT,PT,PT,PT,NF,NF,PT,PT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[1, 1]","[1, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}
 {'mention': 'California Highway Patrol', 'start_token_id': 46, 'end_token_id': 48}]",0,NT,NT,NT,NT,NT,PF,PF,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[1, 1]","[1, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}
 {'mention': 'early Tuesday morning', 'start_token_id': 49, 'end_token_id': 51}]",0,NT,NT,NT,NT,NT,PF,PF,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}
 {'mention': 'tests', 'start_token_id': 55, 'end_token_id': 55}]",0,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
"[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}
 {'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}]",0,PF,PF,PF,PF,PF,PF,NT,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}
 {'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}]",0,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[1, 1]","[1, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}
 {'mention': 'in San Diego', 'start_token_id': 27, 'end_token_id': 37}]",1,NF,NF,NF,NF,PT,PT,NF,NF,NF,NF,NF,NF,NF
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[1, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}
 {'mention': 'Jackson', 'start_token_id': 41, 'end_token_id': 41}]",0,NT,NT,NT,NT,PF,NT,NT,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}
 {'mention': 'California Highway Patrol', 'start_token_id': 46, 'end_token_id': 48}]",0,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}
 {'mention': 'early Tuesday morning', 'start_token_id': 49, 'end_token_id': 51}]",0,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[1, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}
 {'mention': 'tests', 'start_token_id': 55, 'end_token_id': 55}]",0,NT,NT,NT,NT,NT,PF,NT,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}
 {'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}]",0,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[1, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}
 {'mention': 'in San Diego', 'start_token_id': 27, 'end_token_id': 37}]",1,NF,NF,NF,NF,NF,PT,NF,NF,NF,NF,NF,NF,NF
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}
 {'mention': 'Jackson', 'start_token_id': 41, 'end_token_id': 41}]",0,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}
 {'mention': 'California Highway Patrol', 'start_token_id': 46, 'end_token_id': 48}]",0,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[1, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}
 {'mention': 'early Tuesday morning', 'start_token_id': 49, 'end_token_id': 51}]",0,NT,NT,NT,NT,NT,PF,NT,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[1, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}
 {'mention': 'tests', 'start_token_id': 55, 'end_token_id': 55}]",0,NT,NT,NT,NT,NT,PF,NT,NT,NT,NT,NT,NT,NT
"[1, 1]","[1, 1]","[1, 1]","[1, 1]","[0, 1]","[1, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}
 {'mention': 'in San Diego', 'start_token_id': 27, 'end_token_id': 37}]",1,PT,PT,PT,PT,NF,PT,NF,NF,NF,NF,NF,NF,NF
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}
 {'mention': 'Jackson', 'start_token_id': 41, 'end_token_id': 41}]",0,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}
 {'mention': 'California Highway Patrol', 'start_token_id': 46, 'end_token_id': 48}]",0,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}
 {'mention': 'early Tuesday morning', 'start_token_id': 49, 'end_token_id': 51}]",0,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
